Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],StnNo,CastNo,Depth [m],CTD-Temperature [・ｰC],CTD-Salinity,CTD-Oxygen [~$m~#mol/kg],CTD-Oxygen_SBE43 [~$m~#mol/kg],Fluorescence [~$m~#g/L],Transmission [%],PAR [~$m~#E/m~^2~#/s],LogE1 [m~^2~#/s~^3~#],LogE2 [m~^2~#/s~^3~#],LogX [K~^2~#/s],LogKrho1 [m~^2~#/s],LogKrho2 [m~^2~#/s],Salinity,Oxygen [~$m~#mol/kg],DIC [~$m~#mol/kg],Total Alkalinity [~$m~#mol/kg],Nitrate [~$m~#mol/kg],Nitrite [~$m~#mol/kg],Silicate [~$m~#mol/kg],Phosphate [~$m~#mol/kg],Ammonium [~$m~#mol/kg],Total N [~$m~#mol/kg],Chl-a [~$m~#g/L],Chl-a >20 ~$m~#m [~$m~#g/L],Chl-a 10-20 ~$m~#m [~$m~#g/L],Chl-a 2-10 ~$m~#m [~$m~#g/L],Chl-a <2 ~$m~#m [~$m~#g/L],d-POC_C1 [mgC/m~^3~#/day],d-POC_C2 [mgC/m~^3~#/day],Grad_Si [~$m~#mol/kg/m],Grad_P [~$m~#mol/kg/m],Grad_N [~$m~#mol/kg/m],Day of Year (station date) [days],Krho1 [m~^2~#/s],Krho2 [m~^2~#/s],Flux_Si1 [mmol/m~^2~#/s],Flux_Si2 [mmol/m~^2~#/s],Flux_P1 [mmol/m~^2~#/s],Flux_P2 [mmol/m~^2~#/s],Flux_N1 [mmol/m~^2~#/s],Flux_N2 [mmol/m~^2~#/s],Log_Flux_Si1 [mmol/m~^2~#/s],Log_Flux_Si2 [mmol/m~^2~#/s],Log_Flux_P1 [mmol/m~^2~#/s],Log_Flux_P2 [mmol/m~^2~#/s],Log_Flux_N1 [mmol/m~^2~#/s],Log_Flux_N2 [mmol/m~^2~#/s],Potential Density Anomaly ~$s~#~_0 [kg/m~^3]
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,0,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.1839,337.17001,1930.30005,2142.3999,0.05,0.01,2.34,0.292,0.08,0.14,0.28,0.09,0.02,0.04,0.08,6.4242,6.8519,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945915
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,1,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.21566,337.68799,1933.21997,2144.5,0.046,0.01,2.334,0.297,0.072,0.128,0.282,0.092,0.022,0.043,0.08,6.29337,6.66828,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.9459
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,2,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.24742,338.20599,1936.14001,2146.6001,0.042,0.01,2.328,0.302,0.064,0.116,0.284,0.093,0.024,0.045,0.08,6.16254,6.48466,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945884
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,3,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.27918,338.724,1939.06006,2148.69995,0.038,0.01,2.322,0.307,0.056,0.104,0.286,0.095,0.026,0.048,0.08,6.03171,6.30104,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945868
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,4,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.31094,339.242,1941.97998,2150.80005,0.034,0.01,2.316,0.312,0.048,0.092,0.288,0.096,0.028,0.05,0.08,5.90088,6.11742,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945853
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,5,3.1254,31.3379,343.04001,342.25,0.239,97.684,153.504,-999,-999,-999,-999,-999,31.3427,339.76001,1944.90002,2152.8999,0.03,0.01,2.31,0.317,0.04,0.08,0.29,0.098,0.03,0.053,0.08,5.77005,5.9338,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.956083
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,6,3.1304,31.3357,343.42999,342.48001,0.239,97.723,131.98399,-999,-999,-999,-999,-999,31.35262,339.978,1946.05005,2153.6001,0.031,0.01,2.312,0.3182,0.031,0.072,0.295,0.099,0.032,0.055,0.08,5.63922,5.75018,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.953892
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,7,3.1539,31.3118,343.07001,341.98001,0.221,97.663,119.414,-999,-999,-999,-999,-999,31.36254,340.19601,1947.19995,2154.30005,0.032,0.01,2.314,0.3194,0.022,0.064,0.3,0.101,0.034,0.058,0.08,5.50839,5.56656,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.932841
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,8,3.1436,31.3184,342.75,342.07999,0.219,97.674,105.754,-999,-999,-999,-999,-999,31.37246,340.414,1948.34998,2155,0.033,0.01,2.316,0.3206,0.013,0.056,0.305,0.102,0.036,0.06,0.08,5.37756,5.38294,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.938956
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,9,3.1202,31.3353,343.57999,342.03,0.237,97.659,95.375,-999,-999,-999,-999,-999,31.38238,340.63199,1949.5,2155.69995,0.034,0.01,2.318,0.3218,0.004,0.048,0.31,0.104,0.038,0.063,0.08,5.24673,5.19932,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.954385
