Cruise,Station,Year,Month,Day,Longitude,Latitude,Depth,Temperature,Salinity,Nitrate
AN_0501,2,2005,8,19,285.52,78.302,2,-0.527,29.114,0.08
AN_0501,2,2005,8,19,285.52,78.302,4,-0.526,29.117,0.05
AN_0501,2,2005,8,19,285.52,78.302,8,-0.571,29.247,0.03
AN_0501,2,2005,8,19,285.52,78.302,12,-0.729,29.744,0.05
AN_0501,2,2005,8,19,285.52,78.302,19,-1.072,30.99,0.04
AN_0501,2,2005,8,19,285.52,78.302,30,-1.06,31.293,0.34
AN_0501,2,2005,8,19,285.52,78.302,40,-1.113,31.51,0.7
AN_0501,2,2005,8,19,285.52,78.302,50,-1.166,31.705,1.42
AN_0501,2,2005,8,19,285.52,78.302,55,-1.223,31.853,1.81
AN_0501,2,2005,8,19,285.52,78.302,60,-1.333,32.025,2.72
AN_0501,2,2005,8,19,285.52,78.302,70,-1.36,32.157,3.45
AN_0501,2,2005,8,19,285.52,78.302,80,-1.367,32.299,3.91
AN_0501,2,2005,8,19,285.52,78.302,100,-1.335,32.589,5.26
AN_0501,2,2005,8,19,285.52,78.302,130,-0.953,32.876,5.99
AN_0501,2,2005,8,19,285.52,78.302,150,-1.349,33.078,8.77
AN_0501,2,2005,8,19,285.52,78.302,160,-1.241,33.241,9.72
AN_0501,2,2005,8,19,285.52,78.302,203,-0.847,33.785,11.56
AN_0501,2,2005,8,19,285.52,78.302,247,-0.656,34.023,12.25
AN_0501,2,2005,8,19,285.52,78.302,303,-0.506,34.171,12.68
AN_0501,2,2005,8,19,285.52,78.302,399,-0.432,34.252,12.77
AN_0501,2,2005,8,19,285.52,78.302,518,-0.362,34.33,12.95
AN_0501,3,2005,8,23,280.106,74.047,9,4.022,32.468,0.08
AN_0501,3,2005,8,23,280.106,74.047,15,4.019,32.468,0.18
AN_0501,3,2005,8,23,280.106,74.047,23,1.439,32.945,0.37
AN_0501,3,2005,8,23,280.106,74.047,28,0.668,33.064,1.03
AN_0501,3,2005,8,23,280.106,74.047,33,-0.675,33.314,2.73
AN_0501,3,2005,8,23,280.106,74.047,35,-0.841,33.347,3.5
AN_0501,3,2005,8,23,280.106,74.047,38,-0.958,33.365,5.46
AN_0501,3,2005,8,23,280.106,74.047,48,-1.291,33.497,5.87
AN_0501,3,2005,8,23,280.106,74.047,75,-1.455,33.596,10.61
AN_0501,3,2005,8,23,280.106,74.047,100,-1.27,33.659,11.66
AN_0501,3,2005,8,23,280.106,74.047,125,-0.918,33.728,13
AN_0501,3,2005,8,23,280.106,74.047,151,-0.259,33.841,14.54
AN_0501,3,2005,8,23,280.106,74.047,175,0.217,33.93,15.66
AN_0501,3,2005,8,23,280.106,74.047,200,0.792,34.042,16.58
AN_0501,3,2005,8,23,280.106,74.047,300,0.756,34.234,16.78
AN_0501,3,2005,8,23,280.106,74.047,400,1.032,34.346,17.29
AN_0501,3,2005,8,23,280.106,74.047,500,1.149,34.422,17.74
AN_0501,3,2005,8,23,280.106,74.047,600,1.074,34.448,18.3
AN_0501,3,2005,8,23,280.106,74.047,701,1.042,34.473,19.19
AN_0501,3,2005,8,23,280.106,74.047,782,0.998,34.485,19.9
AN_0501,4,2005,8,24,271.509,74.302,20,-1.127,32.243,0.83
AN_0501,4,2005,8,24,271.509,74.302,35,-1.391,32.542,8.36
AN_0501,4,2005,8,24,271.509,74.302,50,-1.48,32.683,10.6
AN_0501,4,2005,8,24,271.509,74.302,138,-1.336,33.1045,12.155
AN_0501,4,2005,8,24,271.509,74.302,200,-1.135,33.536,12.59
AN_0501,4,2005,8,24,271.509,74.302,302,0.13,34.061,15.14
AN_0501,6,2005,8,27,259.301,69.174,2,0.771,24.2485,0.21
AN_0501,6,2005,8,27,259.301,69.174,8,0.725,24.306,0.1
AN_0501,6,2005,8,27,259.301,69.174,9,0.241,24.95,0.12
AN_0501,6,2005,8,27,259.301,69.174,16,-0.101,25.398,0.85
AN_0501,6,2005,8,27,259.301,69.174,22,-0.779,26.962,1.35
AN_0501,6,2005,8,27,259.301,69.174,30,-1.037,27.674,1.67
AN_0501,6,2005,8,27,259.301,69.174,40,-1.177,28.098,1.91
AN_0501,6,2005,8,27,259.301,69.174,50,-1.242,28.291,2.08
AN_0501,6,2005,8,27,259.301,69.174,57,-1.273,28.383,2.16
AN_0501,7,2005,8,30,253.42,68.998,3,5.007,24.428,0.24
AN_0501,7,2005,8,30,253.42,68.998,6,4.981,24.451,0.03
AN_0501,7,2005,8,30,253.42,68.998,7,4.983,24.45,0
AN_0501,7,2005,8,30,253.42,68.998,11,2.463,26.462,0.08
AN_0501,7,2005,8,30,253.42,68.998,18,0.654,27.336,0.34
AN_0501,7,2005,8,30,253.42,68.998,24,-0.223,27.796,0.58
AN_0501,7,2005,8,30,253.42,68.998,30,-0.522,27.913,0.37
AN_0501,7,2005,8,30,253.42,68.998,35,-0.909,28.029,0.62
AN_0501,7,2005,8,30,253.42,68.998,40,-1.052,28.081,0.74
AN_0501,7,2005,8,30,253.42,68.998,50,-1.158,28.133,1.09
AN_0501,7,2005,8,30,253.42,68.998,60,-1.197,28.174,1.26
AN_0501,7,2005,8,30,253.42,68.998,75,-1.223,28.211,1.4
AN_0501,7,2005,8,30,253.42,68.998,86,-1.23,28.215,1.22
AN_0501,7,2005,8,30,253.42,68.998,105,-1.234,28.217,1.25
AN_0501,10,2005,9,5,220.008,71.564,2,-0.9,26.081,0.14
AN_0501,10,2005,9,5,220.008,71.564,12,-0.945,26.323,0.07
AN_0501,10,2005,9,5,220.008,71.564,21,0.312,28.141,0.09
AN_0501,10,2005,9,5,220.008,71.564,33,0.582,30.173,0.09
AN_0501,10,2005,9,5,220.008,71.564,43,-0.026,30.756,0.13
AN_0501,10,2005,9,5,220.008,71.564,48,-0.459,31.032,0.59
AN_0501,10,2005,9,5,220.008,71.564,52,-0.275,31.353,2.34
AN_0501,10,2005,9,5,220.008,71.564,61,-0.735,31.784,5.55
AN_0501,10,2005,9,5,220.008,71.564,80,-1.255,32.282,11.53
AN_0501,10,2005,9,5,220.008,71.564,108,-1.489,32.719,14.09
AN_0501,10,2005,9,5,220.008,71.564,130,-1.623,32.913,14.23
AN_0501,10,2005,9,5,220.008,71.564,151,-1.617,33.099,14.43
AN_0501,10,2005,9,5,220.008,71.564,181,-1.332,33.588,15.93
AN_0501,10,2005,9,5,220.008,71.564,201,-1.113,33.997,14.08
AN_0501,10,2005,9,5,220.008,71.564,250,-0.231,34.499,13.54
AN_0501,10,2005,9,5,220.008,71.564,301,0.265,34.685,13.85
AN_0501,10,2005,9,5,220.008,71.564,401,0.557,34.792,13.66
AN_0501,10,2005,9,5,220.008,71.564,601,0.417,34.838,13.52
AN_0501,10,2005,9,5,220.008,71.564,801,0.213,34.856,13.44
AN_0501,10,2005,9,5,220.008,71.564,976,0.058,34.872,13.51
AN_0501,11,2005,9,11,239.643,70.34,3,3.238,25.88,0.08
AN_0501,11,2005,9,11,239.643,70.34,5,3.282,25.859,0.11
AN_0501,11,2005,9,11,239.643,70.34,8,3.139,25.952,0.12
AN_0501,11,2005,9,11,239.643,70.34,12,2.162,26.587,0.1
AN_0501,11,2005,9,11,239.643,70.34,17,2.799,29.465,0.2
AN_0501,11,2005,9,11,239.643,70.34,26,1.062,30.834,0.1
AN_0501,11,2005,9,11,239.643,70.34,35,-0.016,31.417,0.29
AN_0501,11,2005,9,11,239.643,70.34,43,-0.583,31.774,0.66
AN_0501,11,2005,9,11,239.643,70.34,48,-0.753,31.94,3.61
AN_0501,11,2005,9,11,239.643,70.34,60,-1.158,32.305,8.2
AN_0501,11,2005,9,11,239.643,70.34,75,-1.406,32.603,12.82
AN_0501,11,2005,9,11,239.643,70.34,101,-1.488,32.94,15.1
AN_0501,11,2005,9,11,239.643,70.34,111,-1.495,33.096,15.44
AN_0501,11,2005,9,11,239.643,70.34,140,-1.252,33.476,16.37
AN_0501,11,2005,9,11,239.643,70.34,160,-1.048,33.779,16.46
AN_0501,11,2005,9,11,239.643,70.34,180,-0.656,34.101,16.79
AN_0501,11,2005,9,11,239.643,70.34,200,-0.245,34.43,16.05
AN_0501,11,2005,9,11,239.643,70.34,248,0.221,34.701,15.97
AN_0501,12,2005,9,13,237.044,69.914,3,3.814,27.062,0.05
AN_0501,12,2005,9,13,237.044,69.914,7,3.772,27.129,0.08
AN_0501,12,2005,9,13,237.044,69.914,12,3.711,27.687,0.02
AN_0501,12,2005,9,13,237.044,69.914,18,2.881,29.14,0.07
AN_0501,12,2005,9,13,237.044,69.914,23,2.91,29.833,0.09
AN_0501,12,2005,9,13,237.044,69.914,26,2.289,30.54,0.32
AN_0501,12,2005,9,13,237.044,69.914,40,-0.364,31.512,1.44
AN_0501,12,2005,9,13,237.044,69.914,54,-0.913,32.062,4.85
AN_0501,12,2005,9,13,237.044,69.914,66,-0.79,32.209,6.95
AN_0501,12,2005,9,13,237.044,69.914,76,-1.106,32.306,8.85
AN_0501,12,2005,9,13,237.044,69.914,101,-1.201,32.597,11.05
AN_0501,12,2005,9,13,237.044,69.914,126,-1.445,33.045,15.33
AN_0501,12,2005,9,13,237.044,69.914,141,-1.404,33.212,16.09
AN_0501,12,2005,9,13,237.044,69.914,161,-1.284,33.369,15.89
