BOTTLE,20170821ESSSTAGVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Version: ODV WOCE WHP BOTTLE Implementation V0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Creator: gertvd@stanford.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CreateTime: 2017-08-21T10:47:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Software: Ocean Data View 4.7.8 - 64 bit (Mac OS X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Source: /Users/gertvd/Documents/1Projects/SubIce/ODV/SUBICE_hi_no3.odv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SourceLastModified: 2016-12-16T13:29:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DataField: GeneralField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DataType: GeneralType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,BTLDPTH,BTLDPTH_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLORA_STDEV,CHLORA_STDEV_FLAG_W,PPHYTIN,PPHYTIN_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NH4,NH4_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,FLUOR,FLUOR_FLAG_W,XMISS,XMISS_FLAG_W,SALT,SALT_FLAG_W
,,,,,,,,,DEGRESS_NORTH,DEGREES_EAST,M,DBAR,,M,,UG/L,,,,UG/L,,UMOL/L,,UMOL/L,,UMOL/L,,UMOL/L,,UMOL/L,,UMOL/L,,UMOL/L,,ITS-90,,PSS-78,,MG/M^3,,%,,PSU,
CC_32H12014051,      , 01001,  1,     42,     11,2,20140518,138,70.69,-168.93,37,2.6,2,2.553,2,1.07,6,0.26,2,0.1,6,-999,9,-999,9,-999,9,-999,9,-999,9,4.057,3,0.418,3,-1.6779,2,32.375,2,0.0684,2,80.631,2,-999,9
CC_32H12014051,      , 01001,  1,   -999,     12,2,20140518,138,70.69,-168.93,37,2.6,2,2.554,2,-999,9,-999,9,-999,9,13.87,2,0.12,2,1.84,2,1.89,2,51.9,2,-999,9,-999,9,-1.6779,2,32.375,2,0.0706,2,80.6696,2,-999,9
CC_32H12014051,      , 01001,  1,   -999,     10,2,20140518,138,70.69,-168.93,37,2.6,2,2.557,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-1.6755,2,32.375,2,0.0691,2,80.69,2,-999,9
CC_32H12014051,      , 01001,  1,   -999,      8,2,20140518,138,70.69,-168.93,37,5.3,2,5.281,2,-999,9,-999,9,-999,9,13.92,2,0.12,2,1.82,2,1.89,2,51.7,2,-999,9,-999,9,-1.6754,2,32.3749,2,0.0697,2,80.4452,2,-999,9
CC_32H12014051,      , 01001,  1,     43,      9,2,20140518,138,70.69,-168.93,37,5.3,2,5.283,2,1.04,6,0.03,2,0.08,6,-999,9,-999,9,-999,9,-999,9,-999,9,2.561,3,0.342,3,-1.6734,2,32.3746,2,0.0692,2,80.2672,2,-999,9
CC_32H12014051,      , 01001,  1,     44,      7,2,20140518,138,70.69,-168.93,37,10.6,2,10.477,2,1.15,6,0.02,2,0.09,6,-999,9,-999,9,-999,9,-999,9,-999,9,5.418,3,0.602,3,-1.6862,2,32.3736,2,0.0774,2,80.4415,2,-999,9
CC_32H12014051,      , 01001,  1,   -999,      6,2,20140518,138,70.69,-168.93,37,10.6,2,10.483,2,-999,9,-999,9,-999,9,13.95,2,0.12,2,1.82,2,1.89,2,51.1,2,-999,9,-999,9,-1.6861,2,32.3735,2,0.0761,2,80.3189,2,32.381,2
CC_32H12014051,      , 01001,  1,   -999,      4,2,20140518,138,70.69,-168.93,37,25.9,2,25.645,2,-999,9,-999,9,-999,9,13.9,2,0.12,2,1.82,2,1.9,2,51.5,2,-999,9,-999,9,-1.6844,2,32.3754,2,0.0824,2,80.6988,2,-999,9
CC_32H12014051,      , 01001,  1,     45,      5,2,20140518,138,70.69,-168.93,37,25.9,2,25.647,2,0.84,6,0.12,2,0.09,6,-999,9,-999,9,-999,9,-999,9,-999,9,3.829,3,0.415,3,-1.6837,2,32.3752,2,0.0828,2,80.6414,2,-999,9
