level_0,database,station,date,depth,lat,lon,ntr0,temp,sal,p,SA,CT,sigth,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,TIME,latitude,longitude,CTDPRS,CTDPRS_FLAG_W,BTLDPTH,BTLDPTH_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLORA_STDEV,CHLORA_STDEV_FLAG_W,PPHYTIN,PPHYTIN_FLAG_W,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NH4,NH4_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,FLUOR,FLUOR_FLAG_W,XMISS,XMISS_FLAG_W,SALT,SALT_FLAG_W,mld,nc0,nc,delta_sigth,N2_30_100,doy,month,deltanc,deltanc0,year,season,reg_name,reg_idx
0,codispoti,     316N147_2+71000,1996-11-14,0.0,62.7583,-39.9833,13.22,5.95,34.9,8.078022064020654,35.06628502425733,5.944027213945987,27.482130862094436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,244.0,-0.0006075937680343202,,319,11,,,1996,,,
151,codispoti,     316N147_2+71001,1996-11-15,0.0,64.9,-39.2888,3.43,-0.63,31.92,7.069359145650448,32.07220794749076,-0.61962128010027,25.649852235539356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,60.0,0.525485136428486,6.652431076559922e-05,320,11,24.0,-36.0,1996,,,
302,codispoti,     316N147_2+71002,1996-11-15,0.0,64.8278,-38.8362,5.03,-0.24,32.64,9.089173979634193,32.79561680917871,-0.2307841043894639,26.215800992455115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,30.0,0.551935193394435,9.041621955488596e-05,320,11,10.0,-20.0,1996,,,
453,codispoti,     316N147_2+71004,1996-11-16,0.0,64.2355,-36.9788,10.04,3.11,34.24,8.078902636119619,34.40319822174236,3.112658316311377,27.27020856673721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,0.0,124.0,0.009156050051966957,1.5441853291961273e-05,321,11,-12.0,-136.0,1996,,,
604,codispoti,     316N147_2+71005,1996-11-16,0.0,64.0,-36.5367,9.9,3.1,34.22,8.078764551952583,34.38308578174848,3.1028358240684453,27.255161265826246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,62.0,0.07187108042996826,9.18947522775501e-06,321,11,-2.0,-64.0,1996,,,
755,codispoti,     316N147_2+71006,1996-11-16,0.0,63.948,-36.2413,12.22,5.54,34.75,7.068874868147542,34.9156129952151,5.53623776297497,27.414665614502383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,0.0,154.0,-0.013073803032472853,6.211986896081763e-06,321,11,-86.0,-240.0,1996,,,
906,codispoti,     316N147_2+71007,1996-11-16,0.0,63.95,-36.1972,12.29,6.13,34.84,8.078735120403573,35.006034422762326,6.124670989860716,27.411690814059284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,164.0,0.003596813012375577,,321,11,,,1996,,,
1057,codispoti,     316N147_2+71008,1996-11-16,0.0,63.8945,-36.0612,11.04,5.47,34.66,12.118172446655723,34.825106879542055,5.4673901441989985,27.35189600202989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,0.0,158.0,0.008071219424312659,8.410672532796416e-06,321,11,-54.0,-212.0,1996,,,
1208,codispoti,     316N147_2+71009,1996-11-16,0.0,63.7383,-35.5087,11.34,5.59,34.73,10.0983120995158,34.895473155106956,5.586453745308567,27.39268507573979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,0.0,86.0,0.017882587701272712,6.10263362725358e-06,321,11,-90.0,-176.0,1996,,,
1359,codispoti,     316N147_2+71010,1996-11-16,0.0,63.6167,-35.175,13.25,5.62,34.87,9.08837743757662,35.03613652595947,5.614685149411127,27.49975079024921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,0.0,164.0,-0.0011803419122493608,4.895058384814374e-06,321,11,-66.0,-230.0,1996,,,
