,x,y,ref
0,5.747207602892445,889.0793419408581,beaufort-amundsen1
1,1083.2527923971072,918.0445458331756,beaufort-amundsen1
2,200.77958047783102,863.9761652341828,beaufort-amundsen1
3,299.2612737117108,921.9065730188179,beaufort-amundsen1
4,399.6739805384118,682.4608875089924,beaufort-amundsen1
5,496.22466017947045,580.1171670894703,beaufort-amundsen1
6,598.5683805989927,736.5292681079852,beaufort-amundsen1
7,697.0500738328726,697.9089962515618,beaufort-amundsen1
8,793.6007534739313,921.9065730188179,beaufort-amundsen1
9,894.0134603006322,786.7356215213358,beaufort-amundsen1
10,992.4951535345122,784.8046079285147,beaufort-amundsen1
