,x,y,ref
0,5.747207602892445,817.6318390064746,beaufort-franklin
1,1085.1838059899285,680.5298739161713,beaufort-franklin
2,102.29788724395121,782.8735943356935,beaufort-franklin
3,198.84856688500986,784.8046079285147,beaufort-franklin
4,299.2612737117108,732.6672409223429,beaufort-franklin
5,399.6739805384118,732.6672409223429,beaufort-franklin
6,498.1556737722917,680.5298739161713,beaufort-franklin
7,596.6373670061716,477.77344666994804,beaufort-franklin
8,695.1190602400513,443.01520199916695,beaufort-franklin
9,795.5317670667523,475.8424330771269,beaufort-franklin
10,892.082446707811,580.1171670894703,beaufort-franklin
11,994.4261671273332,520.2557457120139,beaufort-franklin
