,x,y,ref
0,3.8161940100712854,1016.5262390670555,beaufort-mackenzie
1,1083.2527923971072,921.9065730188179,beaufort-mackenzie
2,100.36687365112994,686.3229146946348,beaufort-mackenzie
3,200.77958047783102,682.4608875089924,beaufort-mackenzie
4,301.192287304532,784.8046079285147,beaufort-mackenzie
5,399.6739805384118,862.0451516413616,beaufort-mackenzie
6,496.22466017947045,736.5292681079852,beaufort-mackenzie
7,596.6373670061716,921.9065730188179,beaufort-mackenzie
8,697.0500738328726,860.1141380485403,beaufort-mackenzie
9,795.5317670667523,860.1141380485403,beaufort-mackenzie
10,894.0134603006322,817.6318390064746,beaufort-mackenzie
11,992.4951535345122,860.1141380485403,beaufort-mackenzie
