,x,y,ref
0,7.678221195713718,786.7356215213358,beaufort-shelf
1,110.02194161523585,817.6318390064746,beaufort-shelf
2,407.39803490969643,815.7008254136533,beaufort-shelf
3,502.01770095793404,415.9810116996705,beaufort-shelf
4,604.3614213774563,417.91202529249165,beaufort-shelf
5,704.7741282041573,506.73865056226566,beaufort-shelf
6,795.5317670667523,545.3589224186892,beaufort-shelf
7,892.082446707811,593.6342622392185,beaufort-shelf
8,998.2881943129755,657.3577108023171,beaufort-shelf
9,200.77958047783102,1014.5952254742342,beaufort-shelf
10,301.192287304532,1014.5952254742342,beaufort-shelf
11,1085.1838059899285,860.1141380485403,beaufort-shelf
