,x,y,ref
0,3.8161940100712854,860.1141380485403,nwp2
1,1087.1148195827495,611.0133845746091,nwp2
2,1085.1838059899285,885.2173147552156,nwp2
3,200.77958047783102,819.5628525992958,nwp2
4,299.2612737117108,860.1141380485403,nwp2
5,397.74296694559075,757.7704176290182,nwp2
6,498.1556737722917,497.08358259815975,nwp2
7,596.6373670061716,578.1861534966491,nwp2
8,695.1190602400513,595.5652758320397,nwp2
9,791.66973988111,597.4962894248608,nwp2
10,892.082446707811,595.5652758320397,nwp2
11,992.4951535345122,612.9443981674302,nwp2
